question,answer,region,channel,issue
(25) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,phone (enterprise),cancel subscription
(26) How do I handle update payment method via the web app?,"For update payment method on the web app, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,web app,update payment method
(27) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,mobile app,two-factor auth
(28) How do I handle shipping delay via the email?,"For shipping delay on the email, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,email,shipping delay
(29) How do I handle return request via the chat?,"For return request on the chat, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,chat,return request
(30) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,phone (enterprise),account locked
(31) How do I handle reset password via the web app?,"For reset password on the web app, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,web app,reset password
(32) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,mobile app,billing discrepancy
(33) How do I handle upgrade plan via the email?,"For upgrade plan on the email, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,email,upgrade plan
(34) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,chat,downgrade plan
(35) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,phone (enterprise),cancel subscription
(36) How do I handle update payment method via the web app?,"For update payment method on the web app, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,web app,update payment method
(37) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,mobile app,two-factor auth
(38) How do I handle shipping delay via the email?,"For shipping delay on the email, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,email,shipping delay
(39) How do I handle return request via the chat?,"For return request on the chat, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,chat,return request
(40) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,phone (enterprise),account locked
(41) How do I handle reset password via the web app?,"For reset password on the web app, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,web app,reset password
(42) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,mobile app,billing discrepancy
(43) How do I handle upgrade plan via the email?,"For upgrade plan on the email, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,email,upgrade plan
(44) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,chat,downgrade plan
(45) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,phone (enterprise),cancel subscription
(46) How do I handle update payment method via the web app?,"For update payment method on the web app, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,web app,update payment method
(47) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,mobile app,two-factor auth
(48) How do I handle shipping delay via the email?,"For shipping delay on the email, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,email,shipping delay
(49) How do I handle return request via the chat?,"For return request on the chat, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,chat,return request
(50) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,phone (enterprise),account locked
(51) How do I handle reset password via the web app?,"For reset password on the web app, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,web app,reset password
(52) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,mobile app,billing discrepancy
(53) How do I handle upgrade plan via the email?,"For upgrade plan on the email, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,email,upgrade plan
(54) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,chat,downgrade plan
(55) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,phone (enterprise),cancel subscription
(56) How do I handle update payment method via the web app?,"For update payment method on the web app, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,web app,update payment method
(57) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,mobile app,two-factor auth
(58) How do I handle shipping delay via the email?,"For shipping delay on the email, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,email,shipping delay
(59) How do I handle return request via the chat?,"For return request on the chat, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,chat,return request
(60) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,phone (enterprise),account locked
(61) How do I handle reset password via the web app?,"For reset password on the web app, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,web app,reset password
(62) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,mobile app,billing discrepancy
(63) How do I handle upgrade plan via the email?,"For upgrade plan on the email, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,email,upgrade plan
(64) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,chat,downgrade plan
(65) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,phone (enterprise),cancel subscription
(66) How do I handle update payment method via the web app?,"For update payment method on the web app, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,web app,update payment method
(67) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,mobile app,two-factor auth
(68) How do I handle shipping delay via the email?,"For shipping delay on the email, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,email,shipping delay
(69) How do I handle return request via the chat?,"For return request on the chat, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,chat,return request
(70) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,phone (enterprise),account locked
(71) How do I handle reset password via the web app?,"For reset password on the web app, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,web app,reset password
(72) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,mobile app,billing discrepancy
(73) How do I handle upgrade plan via the email?,"For upgrade plan on the email, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,email,upgrade plan
(74) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,chat,downgrade plan
(75) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,phone (enterprise),cancel subscription
(76) How do I handle update payment method via the web app?,"For update payment method on the web app, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,web app,update payment method
(77) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,mobile app,two-factor auth
(78) How do I handle shipping delay via the email?,"For shipping delay on the email, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,email,shipping delay
(79) How do I handle return request via the chat?,"For return request on the chat, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,chat,return request
(80) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,phone (enterprise),account locked
(81) How do I handle reset password via the web app?,"For reset password on the web app, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,web app,reset password
(82) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,mobile app,billing discrepancy
(83) How do I handle upgrade plan via the email?,"For upgrade plan on the email, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,email,upgrade plan
(84) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,chat,downgrade plan
(85) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,phone (enterprise),cancel subscription
(86) How do I handle update payment method via the web app?,"For update payment method on the web app, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,web app,update payment method
(87) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,mobile app,two-factor auth
(88) How do I handle shipping delay via the email?,"For shipping delay on the email, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,email,shipping delay
(89) How do I handle return request via the chat?,"For return request on the chat, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,chat,return request
(90) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,phone (enterprise),account locked
(91) How do I handle reset password via the web app?,"For reset password on the web app, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,web app,reset password
(92) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,mobile app,billing discrepancy
(93) How do I handle upgrade plan via the email?,"For upgrade plan on the email, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,email,upgrade plan
(94) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,chat,downgrade plan
(95) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,phone (enterprise),cancel subscription
(96) How do I handle update payment method via the web app?,"For update payment method on the web app, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,web app,update payment method
(97) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,mobile app,two-factor auth
(98) How do I handle shipping delay via the email?,"For shipping delay on the email, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,email,shipping delay
(99) How do I handle return request via the chat?,"For return request on the chat, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,chat,return request
(100) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,phone (enterprise),account locked
(101) How do I handle reset password via the web app?,"For reset password on the web app, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,web app,reset password
(102) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,mobile app,billing discrepancy
(103) How do I handle upgrade plan via the email?,"For upgrade plan on the email, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,email,upgrade plan
(104) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,chat,downgrade plan
(105) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,phone (enterprise),cancel subscription
(106) How do I handle update payment method via the web app?,"For update payment method on the web app, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,web app,update payment method
(107) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,mobile app,two-factor auth
(108) How do I handle shipping delay via the email?,"For shipping delay on the email, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,email,shipping delay
(109) How do I handle return request via the chat?,"For return request on the chat, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,chat,return request
(110) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,phone (enterprise),account locked
(111) How do I handle reset password via the web app?,"For reset password on the web app, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,web app,reset password
(112) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,mobile app,billing discrepancy
(113) How do I handle upgrade plan via the email?,"For upgrade plan on the email, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,email,upgrade plan
(114) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,chat,downgrade plan
(115) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,phone (enterprise),cancel subscription
(116) How do I handle update payment method via the web app?,"For update payment method on the web app, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,web app,update payment method
(117) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,mobile app,two-factor auth
(118) How do I handle shipping delay via the email?,"For shipping delay on the email, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,email,shipping delay
(119) How do I handle return request via the chat?,"For return request on the chat, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,chat,return request
(120) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,phone (enterprise),account locked
(121) How do I handle reset password via the web app?,"For reset password on the web app, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,web app,reset password
(122) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,mobile app,billing discrepancy
(123) How do I handle upgrade plan via the email?,"For upgrade plan on the email, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,email,upgrade plan
(124) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,chat,downgrade plan
(125) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,phone (enterprise),cancel subscription
(126) How do I handle update payment method via the web app?,"For update payment method on the web app, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,web app,update payment method
(127) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,mobile app,two-factor auth
(128) How do I handle shipping delay via the email?,"For shipping delay on the email, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,email,shipping delay
(129) How do I handle return request via the chat?,"For return request on the chat, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,chat,return request
(130) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,phone (enterprise),account locked
(131) How do I handle reset password via the web app?,"For reset password on the web app, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,web app,reset password
(132) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,mobile app,billing discrepancy
(133) How do I handle upgrade plan via the email?,"For upgrade plan on the email, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,email,upgrade plan
(134) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,chat,downgrade plan
(135) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,phone (enterprise),cancel subscription
(136) How do I handle update payment method via the web app?,"For update payment method on the web app, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,web app,update payment method
(137) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,mobile app,two-factor auth
(138) How do I handle shipping delay via the email?,"For shipping delay on the email, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,email,shipping delay
(139) How do I handle return request via the chat?,"For return request on the chat, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,chat,return request
(140) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,phone (enterprise),account locked
